Year,Comedy,Drama,Variety,Lead Comedy Actor,Lead Drama Actor,Lead Comedy Actress,Lead Drama Actress,Column9
1949,"Pantomime Quiz (Most Popular Television Program)

(KTLA)

The Necklace (Best Film Made for Television)

(Your Show Time series)","Pantomime Quiz (Most Popular Television Program)

(KTLA)

The Necklace (Best Film Made for Television)

(Your Show Time series)","Pantomime Quiz (Most Popular Television Program)

(KTLA)

The Necklace (Best Film Made for Television)

(Your Show Time series)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)",
1950,"Texaco Star Theatre

(KNBH)","Texaco Star Theatre

(KNBH)","The Ed Wynn Show

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)",
1951,"Pulitzer Prize Playhouse

(ABC)","Pulitzer Prize Playhouse

(ABC)","The Alan Young Show

(CBS)","Alan Young

(CBS)","Alan Young

(CBS)","Gertrude Berg

(CBS)","Gertrude Berg

(CBS)",
1952,"The Red Skelton Show

(CBS)","Studio One

(CBS)","Your Show of Shows

(NBC)","Red Skelton

(NBC)","Sid Caesar

(NBC)","Imogene Coca

(NBC)","Imogene Coca

(NBC)",
1953,"I Love Lucy

(CBS)","Robert Montgomery Presents

(NBC)","Your Show of Shows

(NBC)","Jimmy Durante

(NBC)",Thomas Mitchell,"Lucille Ball

(CBS)",Helen Hayes,
1954,"I Love Lucy

(CBS)","The U.S. Steel Hour

(ABC)

Dragnet

(NBC)","Omnibus

(CBS)","Donald O'Connor

The Colgate Comedy Hour

(NBC)","Donald O'Connor

The Colgate Comedy Hour

(NBC)","Eve Arden

Our Miss Brooks

(CBS)","Eve Arden

Our Miss Brooks

(CBS)",
1955,"Make Room for Daddy

(ABC)","The U.S. Steel Hour

(ABC)

Dragnet

(NBC)

Stories of the Century

(Syndicated)","Walt Disney's Disneyland

(ABC)","Danny Thomas

Make Room for Daddy

(ABC)","Danny Thomas

Make Room for Daddy

(ABC)","Loretta Young

The Loretta Young Show

(NBC)","Loretta Young

The Loretta Young Show

(NBC)",
1956,"The Phil Silvers Show

(CBS)","Producers' Showcase

(NBC)","Toast of the Town

(CBS)","Phil Silvers

The Phil Silvers Show

(CBS)","Phil Silvers

The Phil Silvers Show

(CBS)","Lucille Ball

I Love Lucy

(CBS)","Lucille Ball

I Love Lucy

(CBS)",
1957,"The Phil Silvers Show

(CBS)","Playhouse 90

(CBS)",no award given,"Sid Caesar

Caesar's Hour

(NBC)","Robert Young

Father Knows Best

(CBS)","Nanette Fabray

Caesar's Hour

(NBC)","Loretta Young

The Loretta Young Show

(NBC)",
1958,"The Phil Silvers Show

(CBS)","Gunsmoke

(CBS)

Playhouse 90

(CBS)","The Dinah Shore Chevy Show

(NBC)","Robert Young

Father Knows Best

(CBS)","Robert Young

Father Knows Best

(CBS)","Jane Wyatt

Father Knows Best

(CBS)","Jane Wyatt

Father Knows Best

(CBS)",
1959,"The Jack Benny Program

(CBS)","The Alcoa Hour / Goodyear Television Playhouse

(NBC)

Playhouse 90

(CBS)

Maverick

(ABC)","The Dinah Shore Chevy Show

(NBC)","Jack Benny

The Jack Benny Program

(CBS)","Raymond Burr

Perry Mason

(CBS)","Jane Wyatt

Father Knows Best

(CBS)","Loretta Young

The Loretta Young Show

(NBC)",
1960,"Art Carney Special

(NBC)","Playhouse 90

(CBS)","The Garry Moore Show

(CBS)","Robert Stack

The Untouchables

(ABC)","Robert Stack

The Untouchables

(ABC)","Jane Wyatt

Father Knows Best

(CBS)","Jane Wyatt

Father Knows Best

(CBS)",
1961,"The Jack Benny Program

(CBS)","Macbeth

(Hallmark Hall of Fame)

(NBC)","Astaire Time

(NBC)","Raymond Burr

Perry Mason

(CBS)","Raymond Burr

Perry Mason

(CBS)","Barbara Stanwyck

The Barbara Stanwyck Show

(NBC)","Barbara Stanwyck

The Barbara Stanwyck Show

(NBC)",
1962,"The Bob Newhart Show

(NBC)","The Defenders

(CBS)","The Garry Moore Show

(CBS)","E. G. Marshall

The Defenders

(CBS)","E. G. Marshall

The Defenders

(CBS)","Shirley Booth

Hazel

(NBC)","Shirley Booth

Hazel

(NBC)",
1963,"The Dick Van Dyke Show

(CBS)","The Defenders

(CBS)","The Andy Williams Show

(NBC)","E. G. Marshall

The Defenders

(CBS)","E. G. Marshall

The Defenders

(CBS)","Shirley Booth

Hazel

(NBC)","Shirley Booth

Hazel

(NBC)",
1964,"The Dick Van Dyke Show

(CBS)","The Defenders

(CBS)","The Danny Kaye Show

(CBS)","Dick Van Dyke

The Dick Van Dyke Show

(CBS)","Dick Van Dyke

The Dick Van Dyke Show

(CBS)","Mary Tyler Moore

The Dick Van Dyke Show

(CBS)","Mary Tyler Moore

The Dick Van Dyke Show

(CBS)",
1965,"four winners

(Outstanding Program Achievements in Entertainment)","four winners

(Outstanding Program Achievements in Entertainment)","four winners

(Outstanding Program Achievements in Entertainment)","five winners

(Outstanding Individual Achievements in Entertainment – Actors and Performers)","five winners

(Outstanding Individual Achievements in Entertainment – Actors and Performers)","five winners

(Outstanding Individual Achievements in Entertainment – Actors and Performers)","five winners

(Outstanding Individual Achievements in Entertainment – Actors and Performers)",
1966,"The Dick Van Dyke Show

(CBS)","The Fugitive

(ABC)","The Andy Williams Show

(NBC)","Dick Van Dyke

The Dick Van Dyke Show

(CBS)","Bill Cosby

I Spy

(NBC)","Mary Tyler Moore

The Dick Van Dyke Show

(CBS)","Barbara Stanwyck

The Big Valley

(ABC)",
1967,"The Monkees

(NBC)","Mission: Impossible

(CBS)","The Andy Williams Show

(NBC)","Don Adams

Get Smart

(NBC)","Bill Cosby

I Spy

(NBC)","Lucille Ball

The Lucy Show

(CBS)","Barbara Bain

Mission: Impossible

(CBS)",
1968,"Get Smart

(NBC)","Mission: Impossible

(CBS)","Rowan & Martin's Laugh-In

(NBC)","Don Adams

Get Smart

(NBC)","Bill Cosby

I Spy

(NBC)","Lucille Ball

The Lucy Show

(CBS)","Barbara Bain

Mission: Impossible

(CBS)",
1969,"Get Smart

(NBC)","NET Playhouse

(NET)","Rowan & Martin's Laugh-In

(NBC)","Don Adams

Get Smart

(NBC)","Carl Betz

Judd for the Defense

(ABC)","Hope Lange

The Ghost & Mrs. Muir

(ABC)","Barbara Bain

Mission: Impossible

(CBS)",
1970,"My World and Welcome to It

(NBC)","Marcus Welby, M.D.

(ABC)","The David Frost Show

(Syndicated)","William Windom

My World and Welcome to It

(NBC)","Robert Young

Marcus Welby, M.D.

(ABC)","Hope Lange

The Ghost & Mrs. Muir

(ABC)","Susan Hampshire

The Forsyte Saga

(NET)",
1971,"All in the Family

(CBS)","The Bold Ones: The Senator

(NBC)","Singer Presents Burt Bacharach

(CBS)","Jack Klugman

The Odd Couple

(ABC)","Hal Holbrook

The Bold Ones: The Senator

(NBC)","Jean Stapleton

All in the Family

(CBS)","Susan Hampshire

The First Churchills

(Masterpiece Theatre)

(PBS)",
1972,"All in the Family

(CBS)","Elizabeth R

(Masterpiece Theatre)

(PBS)","The Carol Burnett Show

(CBS)","Carroll O'Connor

All in the Family

(CBS)","Peter Falk

Columbo

(NBC)","Jean Stapleton

All in the Family

(CBS)","Glenda Jackson

Elizabeth R

(Masterpiece Theatre)

(PBS)",
1973,"All in the Family

(CBS)","The Waltons

(CBS)","The Julie Andrews Hour

(ABC)","Jack Klugman

The Odd Couple

(ABC)","Richard Thomas

The Waltons

(CBS)","Mary Tyler Moore

The Mary Tyler Moore Show

(CBS)","Michael Learned

The Waltons

(CBS)",
1974,"M*A*S*H

(CBS)","Upstairs, Downstairs

(Masterpiece Theatre)

(PBS)","The Carol Burnett Show

(CBS)","Alan Alda

M*A*S*H

(CBS)","Telly Savalas

Kojak

(CBS)","Mary Tyler Moore

The Mary Tyler Moore Show

(CBS)","Michael Learned

The Waltons

(CBS)",
1975,"The Mary Tyler Moore Show

(CBS)","Upstairs, Downstairs

(Masterpiece Theatre)

(PBS)","The Carol Burnett Show

(CBS)","Tony Randall

The Odd Couple

(ABC)","Robert Blake

Baretta

(ABC)","Valerie Harper

Rhoda

(CBS)","Jean Marsh

Upstairs, Downstairs

(Masterpiece Theatre)

(PBS)",
1976,"The Mary Tyler Moore Show

(CBS)","Police Story

(NBC)","Saturday Night Live

(NBC)","Jack Albertson

Chico and the Man

(NBC)","Peter Falk

Columbo

(NBC)","Mary Tyler Moore

The Mary Tyler Moore Show

(CBS)","Michael Learned

The Waltons

(CBS)",
1977,"The Mary Tyler Moore Show

(CBS)","Upstairs, Downstairs

(Masterpiece Theatre)

(PBS)","Van Dyke and Company

(NBC)","Carroll O'Connor

All in the Family

(CBS)","James Garner

The Rockford Files

(NBC)","Bea Arthur

Maude

(CBS)","Lindsay Wagner

The Bionic Woman

(ABC)",
1978,"All in the Family

(CBS)","The Rockford Files

(NBC)","The Muppet Show

(Syndicated)","Carroll O'Connor

All in the Family

(CBS)","Ed Asner

Lou Grant

(CBS)","Jean Stapleton

All in the Family

(CBS)","Sada Thompson

Family

(ABC)",
